date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:11	23105/23105	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Feb%202024%2008:38:05%20GMT	https://sz-vit.si/wp-content/uploads/bb-plugin/cache/8378-layout.js?ver=a506ee070a4088219c8fe736d155707c	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/uploads/bb-plugin/cache/8378-layoutd2ea.js	(from https://sz-vit.si/en/)
20:51:11	47966/47966	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:11%20GMT	https://sz-vit.si/novice/v-centru-ljubljana-samostojno-izvajamo-kontrolne-preglede-i3-na-vectronih/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/novice/v-centru-ljubljana-samostojno-izvajamo-kontrolne-preglede-i3-na-vectronih/index.html	(from https://sz-vit.si/)
20:51:13	48668/48668	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:11%20GMT	https://sz-vit.si/novice/uspesno-opravljena-kontrola-presoja-ecm/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/novice/uspesno-opravljena-kontrola-presoja-ecm/index.html	(from https://sz-vit.si/)
20:51:13	52462/52462	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:12%20GMT	https://sz-vit.si/o-nas/poslanstvo-vizija-in-vrednote/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/o-nas/poslanstvo-vizija-in-vrednote/index.html	(from https://sz-vit.si/)
20:51:15	71994/71994	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:14%20GMT	https://sz-vit.si/o-nas/vodstvo/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/o-nas/vodstvo/index.html	(from https://sz-vit.si/)
20:51:16	773817/773817	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Oct%202023%2012:39:49%20GMT	https://sz-vit.si/wp-content/uploads/2023/10/Vzdrzevanje.jpg	C:/My%20Web%20Sites/Slovenia/sz-vit.si/wp-content/uploads/2023/10/Vzdrzevanje.jpg	(from https://sz-vit.si/wp-content/uploads/bb-plugin/cache/8375-layout.css?ver=18e766e5e84870b5e3a02f0e9a875bda)
20:51:16	89363/89363	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:14%20GMT	https://sz-vit.si/vzdrzevanje/lokomotive/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/vzdrzevanje/lokomotive/index.html	(from https://sz-vit.si/)
20:51:16	265747/265747	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:12%20GMT	https://sz-vit.si/o-nas/reference/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/o-nas/reference/index.html	(from https://sz-vit.si/)
20:51:18	85688/85688	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:16%20GMT	https://sz-vit.si/vzdrzevanje/dizelske-in-elektricne-motorne-garniture/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/vzdrzevanje/dizelske-in-elektricne-motorne-garniture/index.html	(from https://sz-vit.si/)
20:51:18	86389/86389	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2019:51:16%20GMT	https://sz-vit.si/vzdrzevanje/potniski-vagoni/	C:/My%20Web%20Sites/Slovenia/sz-vit.si/vzdrzevanje/potniski-vagoni/index.html	(from https://sz-vit.si/)
